shot_angle,shot_distance,keeper_angle,keeper_scope,keeper_scope_angle,keeper_distance,is_penalty,is_freekick,is_openplay,nearest_player_distance,blocking_players_count,blocking_player_mean_distance,teammates_count,keep_angle_by_shot_angle,scope_angle_by_shot_angle,body_part,season,is_goal
37.45,11.8,18.77,1.77,17.06,11.8,True,False,False,-1,0,-1,0,0.5012016021361815,0.4555407209612816,Left Foot,2018/2019,True
16.01,28.27,8.99,3.9765,16.94,26.51,False,False,True,4.3,2,9.54,0,0.561524047470331,1.0580886945658963,Right Foot,2018/2019,False
10.84,35.5,3.08,5.001,14.85,33.34,False,False,True,-1,0,-1,0,0.2841328413284133,1.3699261992619927,Right Foot,2018/2019,False
16.95,25.82,8.31,3.723,16.46,24.82,False,False,True,5.22,1,5.22,0,0.4902654867256638,0.9710914454277287,Left Foot,2018/2019,False
7.72,20.72,2.93,2.5934999999999997,6.38,17.29,False,False,True,-1,0,-1,0,0.3795336787564767,0.8264248704663213,Left Foot,2018/2019,False
11.7,29.17,5.88,4.176,12.92,27.84,False,False,True,5.45,1,5.45,0,0.5025641025641026,1.1042735042735043,Left Foot,2018/2019,False
19.99,22.55,8.51,3.2714999999999996,16.91,21.81,False,False,True,3.83,6,9.354999999999999,1,0.4257128564282141,0.8459229614807404,Right Foot,2018/2019,False
13.83,31.99,6.55,4.617,16.6,30.78,False,False,True,7.45,1,7.45,0,0.47360809833694867,1.2002892263195952,Right Foot,2018/2019,False
15.79,27.42,7.39,3.9884999999999997,16.21,26.59,False,False,True,2.56,3,7.656666666666666,0,0.46801773274224195,1.026599113362888,Left Foot,2018/2019,False
18.92,23.95,11.09,3.375,16.99,22.5,False,False,True,8.0,1,8.0,0,0.58615221987315,0.8979915433403803,Left Foot,2018/2019,False
14.51,31.42,7.16,4.548,17.05,30.32,False,False,True,4.04,2,5.57,0,0.4934527911784976,1.175051688490696,Right Foot,2018/2019,False
18.0,16.04,5.87,1.974,11.72,13.16,False,False,True,1.94,1,1.94,0,0.32611111111111113,0.6511111111111112,Left Foot,2018/2019,False
